                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.0681,                 2.1635,                 1.1743,                 1.0121,                0.27351,                0.14554,                0.14847,                0.07522,                0.21734,                0.14463,                0.13983,                0.06142,                   2.01,                 3.9588,                 2.7157,                 1.4251,             0.00034206,             0.00034206,             0.00034206
                     65,                 1.1151,                 2.0868,                 1.2657,                 1.0197,                0.27351,                0.14554,                0.14847,                0.07522,                0.21734,                0.14463,                0.13983,                0.06142,                   2.01,                 3.9588,                 2.7157,                 1.4251,             0.00033306,             0.00033306,             0.00033306
                     66,                 1.1966,                 2.0485,                 1.1842,                0.99342,                0.25254,                 0.1459,                0.15564,                0.08093,                 0.2061,                 0.1342,                 0.1371,                0.06446,                 1.9789,                 3.9315,                 2.6994,                 1.3878,             0.00032406,             0.00032406,             0.00032406
                     67,                 1.0431,                 1.9483,                 1.1247,                0.96664,                0.25254,                 0.1459,                0.15564,                0.08093,                 0.2061,                 0.1342,                 0.1371,                0.06446,                 1.9789,                 3.9315,                 2.6994,                 1.3878,             0.00031506,             0.00031506,             0.00031506
                     68,                 1.1056,                 2.2106,                 1.4164,                 1.0651,                 0.2827,                0.14506,                0.16339,                0.08284,                 0.2405,                0.13799,                0.14521,                0.06613,                 1.9826,                 3.9009,                 2.7072,                 1.4012,             0.00030606,             0.00030606,             0.00030606
                     69,                 1.1363,                  2.162,                 1.2902,                 1.0515,                 0.2827,                0.14506,                0.16339,                0.08284,                 0.2405,                0.13799,                0.14521,                0.06613,                 1.9826,                 3.9009,                 2.7072,                 1.4012,             0.00029706,             0.00029706,             0.00029706
                     70,                 1.0485,                 1.9964,                 1.1176,                 1.0025,                0.29198,                 0.1459,                0.15646,                0.08401,                0.24907,                0.15094,                0.15289,                0.07007,                 2.0165,                 3.8577,                 2.7424,                 1.4175,             0.00028806,             0.00028806,             0.00028806
                     71,                0.97567,                 1.7781,                 1.0632,                0.96729,                0.29198,                 0.1459,                0.15646,                0.08401,                0.24907,                0.15094,                0.15289,                0.07007,                 2.0165,                 3.8577,                 2.7424,                 1.4175,             0.00027906,             0.00027906,             0.00027906
                     72,                 0.9994,                 1.8767,                 1.0905,                0.98619,                0.27116,                0.13159,                0.14897,                0.08293,                0.27287,                0.14631,                0.15995,                0.06979,                 2.0477,                 3.8404,                 2.8046,                 1.4377,             0.00027006,             0.00027006,             0.00027006
                     73,                 1.0744,                 1.9355,                 1.1621,                 0.9719,                0.27116,                0.13159,                0.14897,                0.08293,                0.27287,                0.14631,                0.15995,                0.06979,                 2.0477,                 3.8404,                 2.8046,                 1.4377,             0.00026106,             0.00026106,             0.00026106
                     74,                 1.0139,                 2.0098,                 1.1495,                  1.021,                0.27199,                0.12578,                0.14912,                0.08493,                0.23456,                 0.1274,                0.15261,                0.06906,                  2.034,                 3.8446,                  2.768,                 1.4133,             0.00025207,             0.00025207,             0.00025207
                     75,                0.96769,                 1.8678,                 1.0728,                0.98493,                0.27199,                0.12578,                0.14912,                0.08493,                0.23456,                 0.1274,                0.15261,                0.06906,                  2.034,                 3.8446,                  2.768,                 1.4133,             0.00024307,             0.00024307,             0.00024307
                     76,                 1.0061,                 1.8008,                 1.0883,                0.97649,                0.30762,                0.13513,                0.16416,                 0.0885,                0.31697,                0.14445,                0.16548,                0.07267,                  2.019,                 3.8269,                 2.7013,                 1.4074,             0.00023407,             0.00023407,             0.00023407
                     77,                 1.0429,                 1.9844,                 1.2444,                 1.0141,                0.30762,                0.13513,                0.16416,                 0.0885,                0.31697,                0.14445,                0.16548,                0.07267,                  2.019,                 3.8269,                 2.7013,                 1.4074,             0.00022507,             0.00022507,             0.00022507
                     78,                  1.043,                 2.2096,                 1.1663,                 1.0187,                0.31828,                0.13976,                0.16247,                0.08797,                0.27795,                0.14051,                0.16133,                0.07069,                 1.9801,                 3.8546,                 2.5926,                 1.3939,             0.00021607,             0.00021607,             0.00021607
                     79,                 1.0137,                 1.8452,                 1.0715,                0.98726,                0.31828,                0.13976,                0.16247,                0.08797,                0.27795,                0.14051,                0.16133,                0.07069,                 1.9801,                 3.8546,                 2.5926,                 1.3939,             0.00020707,             0.00020707,             0.00020707
                     80,                0.96122,                 1.8802,                0.98853,                0.94345,                0.25757,                0.15087,                0.17317,                0.09072,                0.23176,                0.15154,                0.16537,                0.07402,                 1.9701,                 3.9101,                 2.5393,                 1.3877,             0.00019807,             0.00019807,             0.00019807
                     81,                 1.0105,                 1.9274,                 1.0809,                0.96552,                0.25757,                0.15087,                0.17317,                0.09072,                0.23176,                0.15154,                0.16537,                0.07402,                 1.9701,                 3.9101,                 2.5393,                 1.3877,             0.00018907,             0.00018907,             0.00018907
                     82,                 1.0193,                 1.9077,                 1.0952,                 0.9999,                0.23839,                0.15656,                0.16133,                0.08954,                0.22575,                0.17297,                0.16332,                0.07348,                 1.9414,                 3.9665,                 2.4802,                  1.362,             0.00018007,             0.00018007,             0.00018007
                     83,                 1.0005,                  1.797,                 1.0414,                0.98199,                0.23839,                0.15656,                0.16133,                0.08954,                0.22575,                0.17297,                0.16332,                0.07348,                 1.9414,                 3.9665,                 2.4802,                  1.362,             0.00017107,             0.00017107,             0.00017107
                     84,                 1.0167,                 1.9611,                 1.1323,                0.97254,                0.26035,                0.16782,                0.16924,                 0.0914,                0.23888,                0.17665,                 0.1601,                0.07448,                 1.9402,                 3.9917,                 2.4372,                 1.3761,             0.00016207,             0.00016207,             0.00016207
                     85,                 1.0641,                 1.7976,                 1.1322,                  0.983,                0.26035,                0.16782,                0.16924,                 0.0914,                0.23888,                0.17665,                 0.1601,                0.07448,                 1.9402,                 3.9917,                 2.4372,                 1.3761,             0.00015308,             0.00015308,             0.00015308
                     86,                 1.0626,                 1.8783,                 1.1659,                0.99347,                0.24598,                0.17146,                0.16964,                0.09165,                0.22436,                0.17592,                0.16024,                 0.0747,                 1.9414,                  3.974,                 2.4075,                 1.3903,             0.00014408,             0.00014408,             0.00014408
                     87,                 1.0849,                 1.9606,                 1.1446,                 1.0302,                0.24598,                0.17146,                0.16964,                0.09165,                0.22436,                0.17592,                0.16024,                 0.0747,                 1.9414,                  3.974,                 2.4075,                 1.3903,             0.00013508,             0.00013508,             0.00013508
                     88,                 1.1139,                 2.0456,                 1.2242,                0.97703,                 0.2569,                0.16458,                0.15936,                0.09074,                0.24671,                0.17636,                0.16404,                0.07579,                 1.9275,                 3.9188,                 2.4121,                 1.3961,             0.00012608,             0.00012608,             0.00012608
                     89,                0.95834,                 1.9541,                  1.092,                0.97914,                 0.2569,                0.16458,                0.15936,                0.09074,                0.24671,                0.17636,                0.16404,                0.07579,                 1.9275,                 3.9188,                 2.4121,                 1.3961,             0.00011708,             0.00011708,             0.00011708
                     90,                0.97931,                 1.7967,                 1.0735,                0.98509,                0.25231,                0.16255,                0.15365,                0.08895,                0.25483,                0.17069,                0.15436,                0.07327,                 1.9235,                 3.8877,                 2.4146,                 1.4081,             0.00010808,             0.00010808,             0.00010808
                     91,                 1.0272,                 2.2401,                 1.5312,                 0.9716,                0.25231,                0.16255,                0.15365,                0.08895,                0.25483,                0.17069,                0.15436,                0.07327,                 1.9235,                 3.8877,                 2.4146,                 1.4081,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     92,                0.99846,                 1.7445,                 1.1447,                0.97256,                0.26151,                0.16251,                0.15394,                0.08798,                0.26042,                0.16537,                0.15396,                0.06954,                 1.9113,                 3.8862,                 2.3682,                 1.4026,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     93,                 1.1234,                 2.0481,                 1.3171,                 1.0369,                0.26151,                0.16251,                0.15394,                0.08798,                0.26042,                0.16537,                0.15396,                0.06954,                 1.9113,                 3.8862,                 2.3682,                 1.4026,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     94,                 1.2317,                 2.4758,                 1.5656,                 1.0153,                0.25566,                0.16606,                0.15164,                0.08655,                0.26075,                0.16631,                0.15942,                0.06912,                 1.9125,                 3.9385,                 2.3444,                 1.4019,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     95,                 1.1453,                 2.0146,                 1.3324,                 1.0253,                0.25566,                0.16606,                0.15164,                0.08655,                0.26075,                0.16631,                0.15942,                0.06912,                 1.9125,                 3.9385,                 2.3444,                 1.4019,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     96,                 1.0389,                 2.0986,                 1.3651,                0.98563,                0.26754,                0.17142,                0.15008,                0.08327,                0.22855,                 0.1704,                0.15107,                0.06795,                 1.9039,                 3.9538,                 2.3091,                 1.3947,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     97,                0.91743,                  1.719,                 1.0947,                0.95963,                0.26754,                0.17142,                0.15008,                0.08327,                0.22855,                 0.1704,                0.15107,                0.06795,                 1.9039,                 3.9538,                 2.3091,                 1.3947,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     98,                 1.0132,                 2.0216,                 1.2533,                0.99979,                0.23408,                0.15774,                 0.1443,                 0.0851,                0.22681,                0.16429,                0.14879,                0.06848,                 1.9048,                 3.9951,                 2.2762,                 1.3965,             3.6087e-05,             3.6087e-05,             3.6087e-05
                     99,                 1.0122,                 1.8438,                 1.3088,                 1.0111,                0.23408,                0.15774,                 0.1443,                 0.0851,                0.22681,                0.16429,                0.14879,                0.06848,                 1.9048,                 3.9951,                 2.2762,                 1.3965,             2.7088e-05,             2.7088e-05,             2.7088e-05
                    100,                 1.6805,                 3.3712,                  2.338,                  1.218,                0.20717,                0.18255,                0.14693,                0.08509,                0.19418,                0.19443,                0.15276,                0.06998,                 1.9212,                 4.0332,                 2.2431,                 1.3996,             1.8089e-05,             1.8089e-05,             1.8089e-05
