                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.5244,                 2.7317,                 1.3058,                 1.0321,                0.04752,                0.22585,                0.07839,                0.03338,                0.03919,                 0.2037,                0.06143,                0.02371,                 2.8157,                 4.0121,                 2.8106,                 1.5017,             0.00071399,             0.00071399,             0.00071399
                     45,                 1.4815,                 2.3411,                 1.1911,                0.99845,                0.04752,                0.22585,                0.07839,                0.03338,                0.03919,                 0.2037,                0.06143,                0.02371,                 2.8157,                 4.0121,                 2.8106,                 1.5017,             0.00071781,             0.00071781,             0.00071781
                     46,                 1.3837,                 2.2544,                 1.2226,                 0.9998,                0.04544,                0.21351,                0.07058,                 0.0275,                0.04544,                0.21351,                0.06781,                 0.0186,                  2.875,                 3.9479,                 2.9335,                 1.4499,             0.00072107,             0.00072107,             0.00072107
                     47,                 1.3028,                  2.283,                 1.1607,                0.98718,                0.04544,                0.21351,                0.07058,                 0.0275,                0.04544,                0.21351,                0.06781,                 0.0186,                  2.875,                 3.9479,                 2.9335,                 1.4499,             0.00072376,             0.00072376,             0.00072376
                     48,                 1.4593,                 2.4589,                 1.2924,                      1,                0.04531,                0.20733,                0.06808,                0.02782,                0.05038,                0.23203,                0.07993,                0.02434,                 2.7763,                 3.8695,                 2.9897,                 1.4117,             0.00072588,             0.00072588,             0.00072588
                     49,                 1.5189,                 2.2202,                 1.1979,                 1.0079,                0.04531,                0.20733,                0.06808,                0.02782,                0.05038,                0.23203,                0.07993,                0.02434,                 2.7763,                 3.8695,                 2.9897,                 1.4117,             0.00072744,             0.00072744,             0.00072744
                     50,                 1.3804,                 2.3907,                 1.1761,                 1.0253,                0.04788,                0.20479,                0.06404,                0.02527,                 0.0369,                0.17901,                0.04732,                0.01897,                 2.8629,                 3.8897,                 2.9827,                 1.4036,             0.00072843,             0.00072843,             0.00072843
                     51,                 1.2927,                 2.3245,                 1.2243,                 1.0176,                0.04788,                0.20479,                0.06404,                0.02527,                 0.0369,                0.17901,                0.04732,                0.01897,                 2.8629,                 3.8897,                 2.9827,                 1.4036,             0.00072164,             0.00072164,             0.00072164
                     52,                 1.3818,                 2.3279,                 1.2742,                 1.0139,                0.04951,                0.21714,                0.06871,                0.02638,                 0.0398,                0.19753,                0.05388,                0.02062,                  2.801,                 3.8109,                 2.8982,                  1.408,              0.0007075,              0.0007075,              0.0007075
                     53,                 1.4186,                 2.4453,                 1.2165,                 1.0048,                0.04951,                0.21714,                0.06871,                0.02638,                 0.0398,                0.19753,                0.05388,                0.02062,                  2.801,                 3.8109,                 2.8982,                  1.408,             0.00069335,             0.00069335,             0.00069335
                     54,                 1.2605,                 2.0736,                 1.1146,                 0.9666,                0.04551,                0.22585,                0.06896,                0.02839,                 0.0406,                0.21605,                 0.0612,                0.02306,                  2.828,                 3.7096,                  2.764,                 1.4645,              0.0006792,              0.0006792,              0.0006792
                     55,                 1.2297,                 1.9411,                 1.1907,                0.99514,                0.04551,                0.22585,                0.06896,                0.02839,                 0.0406,                0.21605,                 0.0612,                0.02306,                  2.828,                 3.7096,                  2.764,                 1.4645,             0.00066506,             0.00066506,             0.00066506
                     56,                 1.2525,                 2.2867,                 1.1834,                0.98256,                   0.07,                0.22585,                 0.0765,                0.02773,                0.04786,                0.19753,                0.06253,                0.02187,                 2.9585,                 3.6955,                 2.6601,                 1.5819,             0.00065091,             0.00065091,             0.00065091
                     57,                 1.4023,                 2.2555,                 1.1534,                  1.008,                   0.07,                0.22585,                 0.0765,                0.02773,                0.04786,                0.19753,                0.06253,                0.02187,                 2.9585,                 3.6955,                 2.6601,                 1.5819,             0.00063676,             0.00063676,             0.00063676
                     58,                  1.622,                 2.4121,                 1.2236,                 1.0098,                  0.165,                0.14561,                0.08193,                0.03099,                0.08283,                0.12346,                0.05778,                0.01955,                  2.988,                 3.8103,                 2.5806,                 1.5942,             0.00062262,             0.00062262,             0.00062262
                     59,                 1.3423,                 2.4076,                 1.1359,                0.96231,                  0.165,                0.14561,                0.08193,                0.03099,                0.08283,                0.12346,                0.05778,                0.01955,                  2.988,                 3.8103,                 2.5806,                 1.5942,             0.00060847,             0.00060847,             0.00060847
                     60,                 1.3079,                 2.0453,                 1.1052,                0.95922,                0.23479,                0.09421,                0.08412,                0.03175,                0.10347,                 0.0679,                0.05806,                0.02061,                 3.0068,                 3.8868,                   2.55,                 1.5121,             0.00059432,             0.00059432,             0.00059432
                     61,                 1.3922,                 2.3803,                 1.2318,                 1.0159,                0.23479,                0.09421,                0.08412,                0.03175,                0.10347,                 0.0679,                0.05806,                0.02061,                 3.0068,                 3.8868,                   2.55,                 1.5121,             0.00058017,             0.00058017,             0.00058017
                     62,                 1.3282,                 2.1353,                 1.0996,                0.96216,                0.26404,                0.13072,                0.09111,                0.03392,                0.13859,                0.09877,                 0.0672,                0.02458,                 2.8798,                 3.8146,                 2.4835,                 1.4026,             0.00056603,             0.00056603,             0.00056603
                     63,                  1.444,                   2.31,                 1.2017,                 1.0037,                0.26404,                0.13072,                0.09111,                0.03392,                0.13859,                0.09877,                 0.0672,                0.02458,                 2.8798,                 3.8146,                 2.4835,                 1.4026,             0.00055188,             0.00055188,             0.00055188
                     64,                 1.4074,                 2.4819,                 1.1846,                 1.0743,                0.27659,                0.12455,                0.09429,                0.03735,                0.15035,                0.10494,                0.07932,                0.02762,                 2.7497,                  3.683,                 2.4491,                 1.3763,             0.00053773,             0.00053773,             0.00053773
                     65,                 1.3103,                 2.1443,                 1.1627,                0.96457,                0.27659,                0.12455,                0.09429,                0.03735,                0.15035,                0.10494,                0.07932,                0.02762,                 2.7497,                  3.683,                 2.4491,                 1.3763,             0.00052359,             0.00052359,             0.00052359
                     66,                 1.5981,                 2.5387,                  1.195,                 1.0014,                0.29715,                0.12455,                0.10421,                 0.0392,                0.15751,                0.09259,                0.07792,                0.02538,                  2.685,                   3.67,                 2.4546,                 1.3726,             0.00050944,             0.00050944,             0.00050944
                     67,                 1.2875,                 2.0708,                 1.0204,                0.98021,                0.29715,                0.12455,                0.10421,                 0.0392,                0.15751,                0.09259,                0.07792,                0.02538,                  2.685,                   3.67,                 2.4546,                 1.3726,             0.00049529,             0.00049529,             0.00049529
                     68,                 1.3432,                 2.1506,                 1.2074,                 1.0313,                0.28269,                0.12455,                0.10452,                0.03951,                0.16193,                0.10494,                0.08563,                0.02919,                 2.5656,                 3.6719,                 2.4594,                  1.372,             0.00048114,             0.00048114,             0.00048114
                     69,                 1.3729,                 2.1137,                 1.2121,                 1.0064,                0.28269,                0.12455,                0.10452,                0.03951,                0.16193,                0.10494,                0.08563,                0.02919,                 2.5656,                 3.6719,                 2.4594,                  1.372,               0.000467,               0.000467,               0.000467
                     70,                 1.2734,                  2.142,                 1.2376,                0.99076,                0.28383,                0.11837,                0.09558,                0.03821,                0.17558,                0.10494,                0.08353,                 0.0277,                 2.5972,                 3.6836,                  2.498,                 1.3659,             0.00045285,             0.00045285,             0.00045285
                     71,                 1.1988,                 1.8736,                 1.0577,                 0.9747,                0.28383,                0.11837,                0.09558,                0.03821,                0.17558,                0.10494,                0.08353,                 0.0277,                 2.5972,                 3.6836,                  2.498,                 1.3659,              0.0004387,              0.0004387,              0.0004387
                     72,                 1.1669,                 2.0391,                 1.0299,                0.94008,                 0.3004,                0.11837,                0.09426,                0.03555,                0.15531,                0.09877,                0.08417,                0.03104,                 2.6329,                 3.7242,                 2.5211,                 1.3644,             0.00042456,             0.00042456,             0.00042456
                     73,                 1.3409,                 2.1319,                  1.182,                0.94393,                 0.3004,                0.11837,                0.09426,                0.03555,                0.15531,                0.09877,                0.08417,                0.03104,                 2.6329,                 3.7242,                 2.5211,                 1.3644,             0.00041041,             0.00041041,             0.00041041
                     74,                 1.1335,                  1.786,                 1.0437,                0.96049,                0.30931,                0.13072,                0.10358,                0.03726,                 0.1295,                0.09278,                0.07019,                0.02704,                 2.6925,                 3.7951,                 2.5756,                 1.3475,             0.00039626,             0.00039626,             0.00039626
                     75,                 1.1573,                 2.0497,                  1.071,                0.94969,                0.30931,                0.13072,                0.10358,                0.03726,                 0.1295,                0.09278,                0.07019,                0.02704,                 2.6925,                 3.7951,                 2.5756,                 1.3475,             0.00038211,             0.00038211,             0.00038211
                     76,                 1.2582,                 1.8584,                 1.0252,                  0.978,                  0.243,                0.13305,                0.10347,                0.03904,                0.11884,                0.09238,                0.06975,                0.02589,                  2.768,                  3.878,                 2.5323,                 1.3574,             0.00036797,             0.00036797,             0.00036797
                     77,                 1.2706,                 2.0235,                 1.0976,                 1.0106,                  0.243,                0.13305,                0.10347,                0.03904,                0.11884,                0.09238,                0.06975,                0.02589,                  2.768,                  3.878,                 2.5323,                 1.3574,             0.00035382,             0.00035382,             0.00035382
                     78,                 1.2283,                 2.1221,                 1.0584,                0.96262,                0.30229,                0.14847,                0.10529,                0.04001,                0.11168,                0.09877,                 0.0692,                0.01939,                 2.7591,                 3.7715,                  2.488,                 1.3776,             0.00033967,             0.00033967,             0.00033967
                     79,                 1.3178,                 2.1009,                 1.0633,                0.99177,                0.30229,                0.14847,                0.10529,                0.04001,                0.11168,                0.09877,                 0.0692,                0.01939,                 2.7591,                 3.7715,                  2.488,                 1.3776,             0.00032553,             0.00032553,             0.00032553
                     80,                 1.1697,                 2.0958,                0.93743,                 0.9379,                0.30128,                0.14175,                0.10508,                0.03881,                0.12508,                0.11728,                0.07695,                0.02115,                  2.766,                 3.6584,                 2.4931,                 1.3572,             0.00031138,             0.00031138,             0.00031138
                     81,                 1.2883,                 2.0932,                 1.0384,                0.94838,                0.30128,                0.14175,                0.10508,                0.03881,                0.12508,                0.11728,                0.07695,                0.02115,                  2.766,                 3.6584,                 2.4931,                 1.3572,             0.00029723,             0.00029723,             0.00029723
                     82,                 1.1225,                 1.9955,                 1.0311,                0.95655,                0.23406,                0.14437,                0.09949,                0.03605,                0.12001,                0.11728,                0.07711,                0.02091,                 2.8216,                 3.5971,                 2.4282,                 1.3794,             0.00028308,             0.00028308,             0.00028308
                     83,                 1.0847,                 1.7623,                0.94442,                0.94016,                0.23406,                0.14437,                0.09949,                0.03605,                0.12001,                0.11728,                0.07711,                0.02091,                 2.8216,                 3.5971,                 2.4282,                 1.3794,             0.00026894,             0.00026894,             0.00026894
                     84,                  1.188,                 2.0954,                 1.0441,                0.94173,                  0.254,                0.15541,                0.09244,                0.03325,                 0.1165,                0.12346,                0.07419,                0.02043,                 2.8057,                 3.5749,                 2.4194,                 1.3676,             0.00025479,             0.00025479,             0.00025479
                     85,                 1.3166,                 1.8488,                 1.0807,                0.94886,                  0.254,                0.15541,                0.09244,                0.03325,                 0.1165,                0.12346,                0.07419,                0.02043,                 2.8057,                 3.5749,                 2.4194,                 1.3676,             0.00024064,             0.00024064,             0.00024064
                     86,                 1.1605,                  1.884,                0.98439,                0.92391,                0.24843,                0.14924,                0.08853,                0.03284,                0.11548,                0.12346,                0.07587,                0.02257,                 2.7355,                 3.5636,                 2.4392,                 1.3245,              0.0002265,              0.0002265,              0.0002265
                     87,                 1.3138,                 1.9795,                 1.0502,                0.99229,                0.24843,                0.14924,                0.08853,                0.03284,                0.11548,                0.12346,                0.07587,                0.02257,                 2.7355,                 3.5636,                 2.4392,                 1.3245,             0.00021235,             0.00021235,             0.00021235
                     88,                 1.2841,                 2.1646,                 1.0362,                0.94947,                 0.2411,                0.14924,                0.08756,                0.03481,                0.09975,                0.12346,                0.07209,                0.02927,                 2.6103,                 3.5532,                 2.4573,                    1.3,              0.0001982,              0.0001982,              0.0001982
                     89,                 1.1745,                 2.1291,                 1.0369,                0.92026,                 0.2411,                0.14924,                0.08756,                0.03481,                0.09975,                0.12346,                0.07209,                0.02927,                 2.6103,                 3.5532,                 2.4573,                    1.3,             0.00018406,             0.00018406,             0.00018406
                     90,                 1.2552,                 1.9865,                 1.0512,                0.97256,                0.24474,                0.14884,                0.08826,                0.03455,                0.09492,                0.12346,                0.07426,                 0.0291,                 2.5289,                 3.5164,                 2.4644,                   1.28,             0.00016991,             0.00016991,             0.00016991
                     91,                 1.2278,                 2.1772,                 1.2769,                0.93346,                0.24474,                0.14884,                0.08826,                0.03455,                0.09492,                0.12346,                0.07426,                 0.0291,                 2.5289,                 3.5164,                 2.4644,                   1.28,             0.00015576,             0.00015576,             0.00015576
                     92,                 1.2216,                 1.8601,                 1.1687,                0.95139,                0.25439,                0.13689,                0.08269,                0.03381,                0.09539,                0.12346,                0.07848,                0.02951,                 2.4908,                  3.484,                 2.4063,                 1.2564,             0.00014161,             0.00014161,             0.00014161
                     93,                 1.3433,                 1.9658,                   1.28,                0.95564,                0.25439,                0.13689,                0.08269,                0.03381,                0.09539,                0.12346,                0.07848,                0.02951,                 2.4908,                  3.484,                 2.4063,                 1.2564,             0.00012747,             0.00012747,             0.00012747
                     94,                 1.4727,                  2.459,                 1.3537,                0.94665,                0.26995,                0.13689,                0.08249,                0.03652,                0.13228,                0.11111,                0.08069,                0.02949,                 2.5353,                 3.4844,                 2.3889,                 1.2559,             0.00011332,             0.00011332,             0.00011332
                     95,                  1.362,                 2.1535,                 1.2307,                0.96966,                0.26995,                0.13689,                0.08249,                0.03652,                0.13228,                0.11111,                0.08069,                0.02949,                 2.5353,                 3.4844,                 2.3889,                 1.2559,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                 1.3745,                 2.2605,                 1.3809,                0.96396,                0.24706,                0.14924,                0.08398,                0.03625,                0.13515,                0.11111,                0.07919,                0.02959,                 2.5758,                 3.5224,                 2.3936,                  1.256,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                 1.1004,                 1.7088,                 1.1655,                0.91192,                0.24706,                0.14924,                0.08398,                0.03625,                0.13515,                0.11111,                0.07919,                0.02959,                 2.5758,                 3.5224,                 2.3936,                  1.256,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                  1.097,                 1.8672,                 1.1506,                0.95712,                0.24736,                0.14924,                0.08657,                0.03646,                0.13515,                0.11111,                0.07329,                0.02871,                 2.5918,                 3.5299,                 2.3892,                 1.2479,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                 1.1535,                 1.9774,                 1.3337,                 0.9507,                0.24736,                0.14924,                0.08657,                0.03646,                0.13515,                0.11111,                0.07329,                0.02871,                 2.5918,                 3.5299,                 2.3892,                 1.2479,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                 1.9787,                 3.4785,                 2.5267,                 1.1812,                 0.2186,                0.15541,                0.08381,                0.03678,                 0.1157,                0.11111,                0.07264,                0.02903,                 2.6151,                 3.5919,                 2.3948,                 1.2498,             2.8437e-05,             2.8437e-05,             2.8437e-05
